HKT,sym,tag,true breakout
8/1/2020 19:03,doge,BNB,
8/22/2020 22:17:00,zrx,BNB,
8/22/2020 22:17:00,icx,BNB,
8/22/2020 22:17:00,neo,BNB,
8/22/2020 22:17:00,strat,BNB,
8/22/2020 22:17:00,aion,BNB,
8/22/2020 22:17:00,mtl,BNB,
8/22/2020 22:17:00,cvc,BNB,
8/22/2020 22:17:00,gxs,BNB,
8/26/2020 20:28:00,AAVE,BNB,
8/26/2020 20:28:00,KEY,BNB,
8/26/2020 20:28:00,SRM,BNB,
8/26/2020 20:28:00,ANT,BNB,
8/26/2020 20:28:00,MFT,BNB,
8/27/2020 21:32:00,SAND,BNB,
8/27/2020 21:32:00,lamden,UNI,
8/28/2020 23:07:00,YFI,BNB,
8/28/2020 23:07:00,ERD,BNB,
8/28/2020 23:07:00,SNX,BNB,
8/28/2020 23:07:00,NMR,BNB,
8/28/2020 23:07:00,COMP,BNB,
8/28/2020 23:07:00,BLZ,BNB,
8/28/2020 23:07:00,MANA,BNB,
8/28/2020 23:07:00,ARPA,BNB,
8/28/2020 23:07:00,CHR,BNB,
8/28/2020 23:07:00,IOTX,BNB,
8/28/2020 23:07:00,SC,BNB,
8/28/2020 23:07:00,LUNA,BNB,
8/28/2020 23:07:00,uma,UNI,
8/28/2020 23:07:00,math,UNI,
8/28/2020 23:07:00,swarm,UNI,
8/28/2020 23:07:00,numeraire,UNI,
8/30/2020 1:22:00,NEO,BNB,
8/30/2020 1:22:00,tellor,UNI,
8/30/2020 1:22:00,yfii-finance,UNI,
8/31/2020 1:35:00,ANKR,BNB,
8/31/2020 10:08:00,FTM,BNB,
8/31/2020 10:08:00,yfv-finance,UNI,
9/1/2020 01:31,hakka-finance,UNI,
9/1/2020 01:31,yffi-finance,UNI,
9/1/2020 01:31,darwinia-commitment-token,UNI,
9/1/2020 01:31,uma,UNI,
9/1/2020 01:31,meta,UNI,
9/1/2020 01:31,meridian-network,UNI,
9/1/2020 01:31,xiotri,UNI,
9/1/2020 01:31,yflink,UNI,
9/1/2020 01:31,dextoken-governance,UNI,
9/1/2020 13:10,TRX,BNB,
9/1/2020 13:10,CRV,BNB,
9/1/2020 13:10,REN,BNB,
9/1/2020 13:10,IOST,BNB,
9/1/2020 13:10,MKR,BNB,
9/1/2020 13:10,COS,BNB,
9/1/2020 13:10,hakka-finance,UNI,
9/1/2020 13:10,unitrade,UNI,
9/2/2020 11:15,BAND,BNB,
9/2/2020 11:15,FTM,BNB,
9/2/2020 21:49,TRX,BNB,
9/2/2020 21:49,BNB,BNB,
9/2/2020 21:49,BAND,BNB,
9/2/2020 21:49,FTM,BNB,
9/5/2020 16:03,bounce-token,UNI,
9/7/2020 08:03,rarible,UNI,
9/7/2020 19:45,BTC,BNB,
9/7/2020 19:45,ETH,BNB,
9/11/2020 11:52,degenerator,UNI,
9/12/2020 12:03,bounce-token,UNI,
9/12/2020 12:03,loopring,UNI,
9/12/2020 12:03,whale,UNI,
9/14/2020 16:03:00,yffs,UNI,
9/14/2020 16:03:00,dos-network,UNI,
9/15/2020 0:03:00,yffs,UNI,
9/15/2020 16:03:00,degenerator,UNI,
9/15/2020 16:03:00,amp-token,UNI,
9/16/2020 8:03:00,degenerator,UNI,
9/29/2020 23:48:00,BNB,BNB,
9/29/2020 23:48:00,OMG,BNB,
9/29/2020 23:48:00,TOMO,BNB,
9/29/2020 23:48:00,STORJ,BNB,
9/29/2020 23:48:00,ZIL,BNB,
9/29/2020 23:48:00,MANA,BNB,
9/29/2020 23:48:00,LUNA,BNB,
9/30/2020 8:04:00,rope,UNI,
9/30/2020 8:04:00,multiplier,UNI,
10/1/2020 16:04,bidao,UNI,
10/2/2020 08:03,REN,BNB,
10/4/2020 16:03,xio,UNI,
10/4/2020 16:03,xfinance,UNI,
10/5/2020 00:03,xiotri,UNI,
10/5/2020 08:03,xio,UNI,
10/5/2020 08:03,xiotri,UNI,
10/5/2020 16:04,distx,UNI,
10/6/2020 00:03,xfinance,UNI,
10/6/2020 00:03,xiotri,UNI,
10/6/2020 08:05,xiotri,UNI,
10/6/2020 08:05,distx,UNI,
10/6/2020 08:05,xfinance,UNI,
10/9/2020 16:03,MFT,BNB,
10/9/2020 16:03,harvest-finance,UNI,
10/10/2020 16:03,hegic,UNI,
10/10/2020 16:03,MFT,BNB,
10/11/2020 00:04,UMA,BNB,
10/11/2020 08:04,STORJ,BNB,
10/12/2020 08:04,REN,BNB,
10/12/2020 08:04,distx,UNI,
10/15/2020 0:04:00,aleph,UNI,
10/22/2020 16:04:00,celsius-degree-token,UNI,x
10/22/2020 16:04:00,gnosis,UNI,
10/25/2020 0:04:00,ocean-protocol,UNI,x
10/26/2020 0:04:00,BAT,BNB,
10/26/2020 0:04:00,quant-network,UNI,
10/26/2020 16:04:00,vox-finance,UNI,
10/27/2020 16:04:00,vox-finance,UNI,
10/28/2020 0:04:00,CRV,BNB,
10/28/2020 0:04:00,MFT,BNB,
10/28/2020 8:03:00,BZRX,BNB,
10/28/2020 16:03:00,hermez-network-token,UNI,
10/28/2020 16:03:00,yfdai-finance,UNI,x
10/29/2020 0:04:00,BZRX,BNB,
10/30/2020 16:03:00,easyfi,UNI,
10/31/2020 8:05:00,easyfi,UNI,
10/31/2020 8:05:00,pickle-finance,UNI,
